GEOGNAME,GEOGKEYX,P0050001,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,P0130001,P0150001,P0170001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004
Geog,GeogKey,Total Population,"Not Hispanic or Latino, White alone","Not Hispanic or Latino, Black or African American alone","Not Hispanic or Latino, American Indian and Alaska Native alone","Not Hispanic or Latino, Asian alone","Not Hispanic or Latino, Native Hawaiian and Other Pacific Islander alone","Not Hispanic or Latino, Some Other Race alone","Not Hispanic or Latino, Two or More Races",Hispanic or Latino,Male: Under 5 years old,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Under 5 years old,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Median Age,Total Households,Average Household Size,Total Housing Units,Occupied Housing Units,Vacant Housing Units,Occupied Housing Units,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
South Chicago,46,31198,599,23296,52,67,18,55,337,6774,1183,1215,1258,818,513,235,206,596,920,790,850,892,867,910,805,255,352,204,291,449,296,200,140,1135,1124,1316,861,527,221,258,691,1167,1025,1073,995,1061,1121,1068,392,487,301,424,623,508,287,288,33.0,11064,2.80,13997,11064,2933,11064,3106,1376,6582
Burnside,47,2916,19,2849,2,0,0,0,26,20,73,100,146,88,39,23,19,49,63,73,80,74,80,87,69,26,39,28,24,43,30,18,15,88,95,119,87,46,16,18,40,93,88,115,76,92,116,94,51,41,45,61,102,61,34,52,36.9,1077,2.71,1247,1077,170,1077,426,127,524
Calumet Heights,48,13812,126,12897,17,26,0,22,155,569,324,326,452,300,170,64,64,201,299,284,384,403,458,443,390,162,194,116,233,352,249,167,101,268,381,445,312,140,72,64,197,327,364,430,451,557,567,547,225,338,236,378,546,387,251,193,45.7,5514,2.50,5915,5514,401,5514,2899,1282,1333
Roseland,49,44619,188,43447,64,27,7,33,395,458,1382,1436,1640,1178,725,342,305,749,1049,1045,1091,1167,1416,1544,1166,412,559,313,459,693,619,330,261,1343,1417,1718,1286,814,408,335,877,1245,1238,1505,1485,1608,1841,1493,624,811,502,848,1218,860,644,618,37.7,15492,2.83,17875,15492,2383,15492,6235,2653,6604
Pullman,50,7325,522,6122,8,5,0,8,89,571,241,257,273,186,106,56,42,124,220,209,194,214,196,188,195,65,83,50,84,102,95,61,21,235,239,266,171,104,54,51,131,233,247,288,289,292,279,278,109,154,72,116,185,129,80,61,36.8,2940,2.49,3385,2940,445,2940,1019,368,1553
South Deering,51,15109,725,9354,31,18,1,15,156,4809,545,573,650,406,236,101,103,287,388,385,430,414,424,458,422,129,171,110,162,194,160,114,76,515,577,611,391,242,106,91,275,467,501,516,498,530,593,510,180,265,181,245,321,247,170,139,35.4,5187,2.90,5705,5187,518,5187,2197,1009,1981
East Side,52,23042,3969,777,39,53,5,13,110,18076,953,947,1035,611,387,171,191,486,824,812,811,777,691,719,599,184,241,126,165,230,193,137,100,950,957,1099,546,375,166,146,445,799,793,766,670,746,733,613,226,254,123,174,315,298,238,220,31.1,6948,3.32,7649,6948,701,6948,3137,1574,2237
West Pullman,53,29651,166,27593,45,14,2,13,309,1509,1030,1073,1199,892,525,214,215,532,763,772,758,767,902,829,709,278,418,262,354,453,287,167,102,1033,1088,1214,885,561,239,229,583,865,944,1021,1010,1021,1107,1035,420,563,362,525,614,411,259,161,33.9,9492,3.12,11272,9492,1780,9492,4559,1505,3428
Riverdale,54,6482,32,6251,7,2,0,4,54,132,322,335,455,283,111,46,35,99,139,140,113,107,108,113,73,22,38,15,21,38,27,11,13,324,342,429,226,134,69,55,177,261,345,250,248,229,188,157,52,69,29,51,53,64,38,28,22.5,2099,3.07,2763,2099,664,2099,159,97,1843
Hegewisch,55,9426,4235,364,22,48,0,1,85,4671,329,352,358,221,128,65,57,188,290,280,303,315,309,407,265,108,153,67,115,133,113,77,64,278,328,327,186,110,59,48,149,284,313,305,304,312,321,293,103,156,74,131,198,150,148,152,37.4,3537,2.66,3862,3537,325,3537,1572,1070,895
Garfield Ridge,56,34513,18372,2040,29,346,3,30,178,13515,1125,1118,1132,704,429,225,206,630,1171,1132,1203,1176,1210,1252,1130,356,503,234,355,454,383,368,296,1094,1149,1154,682,383,203,178,678,1084,1156,1164,1138,1216,1259,1119,370,522,290,433,667,585,579,618,37.7,11927,2.87,13106,11927,1179,11927,6415,3378,2134
Archer Heights,57,13393,2874,130,15,138,0,11,43,10182,597,574,559,347,203,109,111,325,581,583,576,455,381,361,298,112,142,68,82,103,80,75,51,556,518,503,343,209,89,75,328,520,592,492,396,336,366,311,111,146,69,100,161,123,125,151,30.5,3844,3.48,4250,3844,406,3844,1538,671,1635
Brighton Park,58,45368,3682,542,40,2252,0,44,115,38693,2309,2239,2109,1289,747,386,380,1227,2063,1878,1780,1628,1374,1182,962,318,347,185,228,278,205,138,115,2172,2192,1970,1168,696,348,353,1001,1810,1792,1708,1413,1230,1106,923,309,349,184,238,317,284,230,208,27.2,12187,3.71,14060,12187,1873,12187,4120,1295,6772
McKinley Park,59,15612,2667,234,23,2445,2,9,121,10111,592,609,614,351,229,98,126,370,737,648,587,538,506,475,472,147,176,80,109,146,89,69,59,626,579,554,362,197,131,92,366,694,638,559,496,541,486,421,156,175,83,121,160,124,111,113,31.5,4981,3.13,5569,4981,588,4981,1800,735,2446
Bridgeport,60,31977,11225,672,41,11038,7,30,337,8627,987,911,952,610,378,246,272,1017,1585,1279,1171,1140,1100,1143,1066,379,401,185,243,363,237,205,116,969,902,902,554,390,202,235,915,1445,1197,1117,1162,1136,1142,1040,376,430,208,324,404,355,302,284,35.1,12223,2.61,13749,12223,1526,12223,3414,1719,7090
New City,61,44377,4697,13148,58,727,6,49,261,25431,2223,2138,2183,1346,771,385,372,969,1721,1736,1643,1407,1303,1303,991,304,411,187,220,324,224,147,83,2068,2052,2006,1305,767,361,354,970,1718,1708,1584,1398,1255,1181,907,316,371,195,305,432,328,228,177,27.2,12680,3.47,15944,12680,3264,12680,3422,1215,8043
West Elsdon,62,18109,3250,255,15,222,0,13,40,14314,767,837,768,426,316,137,124,423,763,730,756,640,502,476,411,133,209,84,105,119,89,96,93,782,759,736,444,253,124,141,421,731,720,716,549,530,510,432,139,200,113,124,191,141,169,180,30.3,4957,3.65,5272,4957,315,4957,2655,984,1318
Gage Park,63,39894,1892,2161,23,121,5,29,74,35589,2037,2071,1978,1126,724,401,337,1008,1749,1671,1649,1391,1143,958,766,239,307,170,197,228,160,84,83,1964,1897,1956,1120,737,321,302,934,1487,1608,1466,1349,1039,894,715,228,344,147,192,270,171,113,163,26.3,9384,4.25,10323,9384,939,9384,4114,889,4381
Clearing,64,23139,11921,282,27,212,4,34,175,10484,797,819,830,471,270,126,130,450,886,909,866,841,814,787,694,216,294,133,203,239,215,178,132,809,774,731,494,269,149,128,463,865,967,856,771,738,819,722,241,334,172,242,362,326,305,302,35.5,8467,2.73,9074,8467,607,8467,4322,1833,2312
West Lawn,65,33355,4924,1390,28,210,3,18,113,26669,1487,1494,1481,829,547,263,238,813,1367,1450,1394,1128,951,896,758,267,284,153,212,242,163,153,153,1392,1490,1440,824,501,266,242,713,1290,1339,1290,1056,934,952,798,253,329,181,235,308,241,250,308,30.0,8766,3.80,9362,8766,596,8766,5135,1446,2185
