GeogKey,Geog,Total Population,Total 25 years and over,Total Less than high school diploma,"Total High school graduate, GED, or alternative",Total Some college or associate's degree,Total Bachelor's degree or higher,White not Latino 25 years and over,White not Latino Less than high school diploma,"White not Latino High school graduate, GED, or alternative",White not Latino Some college or associate's degree,White not Latino Bachelor's degree or higher,Black 25 years and over,Black Less than high school diploma,"Black High school graduate, GED, or alternative",Black Some college or associate's degree,Black Bachelor's degree or higher,Latino 25 years and over,Latino Less than high school diploma,"Latino High school graduate, GED, or alternative", Latino Some college or associate's degree,Latino  Bachelor's degree or higher,Asian 25 years and over,Asian Less than high school diploma,"Asian High school graduate, GED, or alternative",Asian Some college or associate's degree,Asian Bachelor's degree or higher
51,South Deering,15109,10103,2208,3394,3156,1345,871,33,415,191,232,6405,909,2066,2471,959,2818,1290,957,457,114,40,0,0,0,40
52,East Side,23042,14191,5040,4807,2970,1374,3514,764,1321,848,581,277,65,71,117,24,10407,4213,3430,1993,771,37,7,11,8,11
53,West Pullman,29651,19500,4401,5639,6943,2517,200,12,33,99,56,18451,3829,5442,6738,2442,776,560,182,34,0,0,0,0,0,0
54,Riverdale,6482,2634,648,842,993,151,20,0,0,20,0,2543,629,822,966,126,46,19,20,7,0,25,0,0,0,25
55,Hegewisch,9426,7127,1275,2655,2081,1116,4031,544,1541,1161,785,489,121,296,29,43,2583,610,855,852,266,22,0,0,22,0
56,Garfield Ridge,34513,23327,4530,8434,6388,3975,14292,2245,5683,3781,2583,1735,355,799,334,247,6837,1852,1926,2087,972,489,59,59,181,190
57,Archer Heights,13393,7327,2669,2368,1475,815,2365,549,911,519,386,51,0,0,26,25,4863,2120,1457,904,382,0,0,0,0,0
58,Brighton Park,45368,24039,11581,7127,3229,2102,3649,829,1564,799,457,196,0,20,76,100,18553,10247,5094,2120,1092,1570,468,429,217,456
59,McKinley Park,15612,10135,3222,3848,1873,1192,2634,364,1163,713,394,125,0,12,102,11,5532,2349,1886,870,427,1842,509,787,194,352
60,Bridgeport,31977,21555,5622,7126,3847,4960,8664,1493,3079,1909,2183,278,61,47,92,78,4556,1586,1590,756,624,7931,2472,2325,1071,2063
61,New City,44377,23191,9836,6791,4835,1729,4063,788,1552,1098,625,6862,1969,2304,2086,503,11765,6984,2884,1484,413,360,89,27,90,154
62,West Elsdon,18109,10808,4284,2989,2113,1422,3195,624,1234,826,511,316,15,57,116,128,7068,3641,1685,1115,627,203,19,17,20,147
63,Gage Park,39894,20445,11052,5233,2914,1246,1816,402,687,529,198,1065,238,393,337,97,17403,10365,4107,2023,908,116,44,26,3,43
64,Clearing,23139,15929,2940,5531,5037,2421,9618,1242,3519,3318,1539,238,0,92,70,76,5863,1646,1860,1628,729,192,9,58,6,119
65,West Lawn,33355,18785,6267,6706,4265,1547,5110,951,2135,1552,472,758,121,196,178,263,12638,5118,4283,2503,734,73,0,13,21,39
66,Chicago Lawn,55628,29667,9375,9493,7955,2844,2157,340,776,552,489,16670,3662,5713,5674,1621,10546,5361,2915,1671,599,191,0,44,18,129
67,West Englewood,35505,22447,6809,7645,6641,1352,207,13,85,72,37,21582,6565,7353,6407,1257,372,199,111,53,9,28,0,28,0,0
68,Englewood,30654,18919,5562,6242,5833,1282,202,57,40,61,44,18591,5465,6147,5761,1218,61,35,15,0,11,0,0,0,0,0
69,Greater Grand Crossing,32602,21361,3824,5790,8014,3733,126,10,15,34,67,20897,3739,5736,7905,3517,303,73,99,82,49,37,20,0,0,17
70,Ashburn,41081,26096,4784,7730,8295,5287,5571,790,1987,1678,1116,13191,1318,3302,4955,3616,6977,2583,2346,1534,514,239,90,44,41,64
71,Auburn Gresham,48743,32569,6341,10528,11181,4519,195,32,105,15,43,32019,6176,10380,11069,4394,130,59,20,25,26,59,8,0,0,51
72,Beverly,20034,14588,737,2133,3861,7857,8794,248,1123,2310,5113,5174,451,859,1511,2353,528,38,139,27,324,60,0,23,16,21
73,Washington Heights,26493,18450,2877,6586,5914,3073,108,20,55,6,27,17950,2814,6368,5787,2981,237,47,146,44,0,14,0,0,0,14
74,Mount Greenwood,19093,11908,531,3780,4131,3466,10736,467,3375,3695,3199,621,0,240,245,136,524,64,148,181,131,8,0,8,0,0
75,Morgan Park,22544,14703,1597,3637,4911,4558,4564,158,990,1330,2086,9661,1333,2612,3466,2250,247,80,44,46,77,140,0,0,0,140
76,O'Hare,12756,9601,1057,2965,2425,3154,7680,910,2638,1963,2169,130,0,32,23,75,970,131,251,345,243,785,16,19,83,667
77,Edgewater,56521,42788,3834,6406,9403,23145,24997,1040,2754,5339,15864,6154,847,1349,2268,1690,5375,1519,1232,917,1707,5449,383,907,648,3511
