"year","metal","avg_price"
"1996","gold",387.867857142857
"1996","palladium",128.121031746032
"1996","platinum",397.425198412698
"1996","silver",5.19945275590551
"1997","gold",331.294820717131
"1997","palladium",177.972709163347
"1997","platinum",395.864940239044
"1997","silver",4.89724110671937
"1998","gold",294.087051792829
"1998","palladium",284.123505976096
"1998","platinum",371.774302788845
"1998","silver",5.53979446640316
"1999","gold",278.572709163347
"1999","palladium",357.74422310757
"1999","platinum",376.73187250996
"1999","silver",5.21840674603175
"2000","gold",279.102
"2000","palladium",680.328
"2000","platinum",544.138
"2000","silver",4.95252976190476
"2001","gold",271.035856573705
"2001","palladium",603.681274900398
"2001","platinum",528.998007968127
"2001","silver",4.37021739130435
"2002","gold",309.6772
"2002","palladium",337.56
"2002","platinum",539.255
"2002","silver",4.59900595238095
"2003","gold",363.320916334661
"2003","palladium",200.518924302789
"2003","platinum",691.193227091634
"2003","silver",4.87868577075099
"2004","gold",409.16626984127
"2004","palladium",230.22123015873
"2004","platinum",845.519841269841
"2004","silver",6.65782480314961
"2005","gold",444.4478
"2005","palladium",201.079
"2005","platinum",896.573
"2005","silver",7.3115376984127
"2006","gold",603.7722
"2006","palladium",319.999
"2006","platinum",1142.554
"2006","silver",11.5491765873016
"2007","gold",695.386454183267
"2007","palladium",354.776892430279
"2007","platinum",1302.80677290837
"2007","silver",13.3835375494071
"2008","gold",871.962698412698
"2008","palladium",352.25
"2008","platinum",1577.53373015873
"2008","silver",14.9890748031496
"2009","gold",972.348605577689
"2009","palladium",263.217131474104
"2009","platinum",1203.5
"2009","silver",14.6742786561265
"2010","gold",1224.52091633466
"2010","palladium",525.241035856574
"2010","platinum",1608.98406374502
"2010","silver",20.1928853754941
"2011","gold",1571.52008032129
"2011","palladium",733.63453815261
"2011","platinum",1721.86746987952
"2011","silver",35.119203187251
"2012","gold",1668.9804
"2012","palladium",643.188
"2012","platinum",1551.476
"2012","silver",31.1496825396825
"2013","gold",1411.22569721116
"2013","palladium",725.05577689243
"2013","platinum",1486.71912350598
"2013","silver",23.7927865612648
"2014","gold",1266.40239043825
"2014","palladium",803.223107569721
"2014","platinum",1385.70119521912
"2014","silver",19.0778458498024
"2015","gold",1160.06235059761
"2015","palladium",691.625498007968
"2015","platinum",1053.492
"2015","silver",15.68
"2016","gold",1250.79800796813
"2016","palladium",613.266798418972
"2016","platinum",988.334645669291
"2016","silver",17.1375889328063
"2017","gold",1257.1454
"2017","palladium",867.453629032258
"2017","platinum",948.701612903226
"2017","silver",17.0480555555556
"2018","gold",1268.48665338645
"2018","palladium",1028.32470119522
"2018","platinum",879.952
"2018","silver",15.7053754940711
"2019","gold",1392.59601593626
"2019","palladium",1533.79919678715
"2019","platinum",862.204819277108
"2019","silver",16.2085375494071
"2020","gold",1555.03125
"2020","palladium",2212.125
"2020","platinum",988.875
"2020","silver",18.003125
