Asset_Type,Category,Year,Begin_Balance,Additions,Reductions,End_Balance
Less Accumulated Depreciation:,,2010,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2010,-862957631,-65416008,0,-928373639
Roadways and structures,Less Accumulated Depreciation,2010,-1953239018,-148295984,0,-2101535002
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2010,-6818 8635,-42818,0,-68231453
Total Accumulated Depreciation,Less Accumulated Depreciation,2010,-288438 5284,-213754810,0,-3098140094
"Total Capital Assets being depreciated, net",Net Total,2010,238558566 2,-1688237,0,2383897425
"Total Capital Assets, net",Net Total,2010,2537 250150,51304687,-3424,2588551413
"Capital Assets, not being depreciated:",,2011,,,,
Land,"Capital Assets, not being depreciated:",2011,149529619,0,0,149529619
Capital projects in progress,"Capital Assets, not being depreciated:",2011,55124369,170631575,0,225755944
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2011,204653988,170631575,0,375285563
Capital Assets being depreciated:,,2011,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2011,1730993329,65563151,0,1796556480
Roadways and structures,Capital Assets being depreciated:,2011,3668682801,125247106,0,3793929907
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2011,82361389,6437821,,88799210
Total Capital Assets being depreciated,Capital Assets being depreciated:,2011,5482037519,197248078,0,5679285597
Less Accumulated Depreciation:,,2011,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2011,-928373639,-67418954,0,-995792593
Roadways and structures,Less Accumulated Depreciation,2011,-2101535002,-143982481,0,-2245517483
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2011,-68231453,-4126480,0,-72357933
Total Accumulated Depreciation,Less Accumulated Depreciation,2011,-3098140094,-215527915,0,-3313668009
"Total Capital Assets being depreciated, net",Net Total,2011,2383897425,-18279837,0,2365617588
"Total Capital Assets, net",Net Total,2011,2588551413,152351738,0,2740903151
"Capital Assets, not being depreciated:",,2012,,,,
Land,"Capital Assets, not being depreciated:",2012,149529619,296602,0,149826221
Capital projects in progress,"Capital Assets, not being depreciated:",2012,225755944,112412186,-29309045,308859085
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2012,375285563,112708788,-29309045,458685306
Capital Assets being depreciated:,,2012,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2012,1796556480,65760907,0,1862317387
Roadways and structures,Capital Assets being depreciated:,2012,3793929907,121895127,0,3915825034
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2012,88799210,268334,0,89067544
Total Capital Assets being depreciated,Capital Assets being depreciated:,2012,5679285597,187924368,0,5867209965
Less Accumulated Depreciation:,,2012,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2012,-995792593,-65360238,0,-1061152831
Roadways and structures,Less Accumulated Depreciation,2012,-2245517483,-141827870,0,-2387345353
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2012,-72357933,-4255429,0,-76613362
Total Accumulated Depreciation,Less Accumulated Depreciation,2012,-3313668009,-211443537,0,-3525111546
"Total Capital Assets being depreciated, net",Net Total,2012,2365617588,-23519169,0,2342098419
"Total Capital Assets, net",Net Total,2012,2740903151,89189619,-29309045,2800783725
"Capital Assets, not being depreciated:",,2013,,,,
Land,"Capital Assets, not being depreciated:",2013,149826221,0,-137563,149688658
Capital projects in progress,"Capital Assets, not being depreciated:",2013,308859085,113469697,-203076269,219252513
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2013,458685306,113469697,-203213832,368941171
Capital Assets being depreciated:,,2013,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2013,1862317387,224484350,0,2086801737
Roadways and structures,Capital Assets being depreciated:,2013,3915825034,159623679,0,4075448713
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2013,89067544,1012974,0,90080518
Total Capital Assets being depreciated,Capital Assets being depreciated:,2013,5867209965,385121003,0,6252330968
Less Accumulated Depreciation:,,2013,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2013,-1061152831,-71580562,0,-1132733393
Roadways and structures,Less Accumulated Depreciation,2013,-2387345353,-126817441,0,-2514162794
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2013,-76613362,-4383560,0,-80996922
Total Accumulated Depreciation,Less Accumulated Depreciation,2013,-3525111546,-202781563,0,-3727893109
"Total Capital Assets being depreciated, net",Net Total,2013,2342098419,182339440,0,2524437859
"Total Capital Assets, net",Net Total,2013,2800783725,295809137,-203213832,2893379030
"Capital Assets, not being depreciated:",,2014,,,,
Land,"Capital Assets, not being depreciated:",2014,149688658,155973,0,149844631
Capital projects in progress,"Capital Assets, not being depreciated:",2014,219252513,2756838,-15378899,206630452
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2014,368941171,2912811,-15378899,356475083
Capital Assets being depreciated:,,2014,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2014,2086801737,117077996,-43063374,2160816359
Roadways and structures,Capital Assets being depreciated:,2014,4075448713,147874346,0,4223323059
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2014,90080518,1932437,0,92012955
Total Capital Assets being depreciated,Capital Assets being depreciated:,2014,6252330968,266884779,-43063374,6476152373
Less Accumulated Depreciation:,,2014,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2014,-1132733393,-78508897,43063374,-1168178916
Roadways and structures,Less Accumulated Depreciation,2014,-2514162794,-128009972,0,-2642172766
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2014,-80996922,-3378199,0,-84375121
Total Accumulated Depreciation,Less Accumulated Depreciation,2014,-3727893109,-209897068,43063374,-3894726803
"Total Capital Assets being depreciated, net",Net Total,2014,2524437859,56987711,0,2581425570
"Total Capital Assets, net",Net Total,2014,2893379030,59900522,-15378899,2937900653
"Capital Assets, not being depreciated:",,2015,,,,
Land,"Capital Assets, not being depreciated:",2015,149844631,3418405,0,153263036
Capital projects in progress,"Capital Assets, not being depreciated:",2015,206630452,33680416,-153872484,86438384
"Total Capital Assets, not being depreciated","Capital Assets, not being depreciated:",2015,356475083,37098821,-153872484,239701420
Capital Assets being depreciated:,,2015,,,,
Rolling stock and equipment,Capital Assets being depreciated:,2015,2090564764,202812422,-60732564,2232644622
Roadways and structures,Capital Assets being depreciated:,2015,3898702865,125508032,0,4024210897
"Furniture, fixtures, and office equipment",Capital Assets being depreciated:,2015,486884744,20110059,0,506994803
Total Capital Assets being depreciated,Capital Assets being depreciated:,2015,6476152373,348430513,-60732564,6763850322
Less Accumulated Depreciation:,,2015,,,,
Rolling stock and equipment,Less Accumulated Depreciation,2015,-1006620169,-82493882,60732564,-1028381487
Roadways and structures,Less Accumulated Depreciation,2015,-2486988106,-118324256,0,-2605312362
"Furniture, fixtures, and office equipment",Less Accumulated Depreciation,2015,-401118528,-16342248,0,-417460776
