U.S. All Grades Conventional Retail Gasoline Prices
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMM_EPM0U_PTE_NUS_DPG&f=M
20:31:21 GMT-0500 (Central Daylight Time)
Source: U.S. Energy Information Administration
Month,U.S. All Grades Conventional Retail Gasoline Prices Dollars per Gallon
Dec 2009,2.62
Nov 2009,2.665
Oct 2009,2.549
Sep 2009,2.53
Aug 2009,2.613
Jul 2009,2.53
Jun 2009,2.645
May 2009,2.289
Apr 2009,2.071
Mar 2009,1.987
Feb 2009,1.942
Jan 2009,1.821
Dec 2008,1.721
Nov 2008,2.153
Oct 2008,3.065
Sep 2008,3.76
Aug 2008,3.789
Jul 2008,4.051
Jun 2008,4.038
May 2008,3.783
Apr 2008,3.468
Mar 2008,3.263
Feb 2008,3.064
Jan 2008,3.068
Dec 2007,3.032
Nov 2007,3.11
Oct 2007,2.838
Sep 2007,2.858
Aug 2007,2.821
Jul 2007,2.989
Jun 2007,3.067
May 2007,3.157
Apr 2007,2.831
Mar 2007,2.546
Feb 2007,2.276
Jan 2007,2.237
Dec 2006,2.328
Nov 2006,2.254
Oct 2006,2.258
Sep 2006,2.548
Aug 2006,2.952
Jul 2006,2.964
Jun 2006,2.849
May 2006,2.873
Apr 2006,2.762
Mar 2006,2.454
Feb 2006,2.293
Jan 2006,2.343
Dec 2005,2.216
Nov 2005,2.265
Oct 2005,2.736
Sep 2005,2.907
Aug 2005,2.489
Jul 2005,2.287
Jun 2005,2.162
May 2005,2.155
Apr 2005,2.251
Mar 2005,2.102
Feb 2005,1.927
Jan 2005,1.852
Dec 2004,1.843
Nov 2004,1.973
Oct 2004,1.993
Sep 2004,1.88
Aug 2004,1.88
Jul 2004,1.902
Jun 2004,1.95
May 2004,1.981
Apr 2004,1.794
Mar 2004,1.728
Feb 2004,1.654
Jan 2004,1.595
Dec 2003,1.488
Nov 2003,1.512
Oct 2003,1.551
Sep 2003,1.654
Aug 2003,1.625
Jul 2003,1.519
Jun 2003,1.489
May 2003,1.477
Apr 2003,1.557
Mar 2003,1.675
Feb 2003,1.622
Jan 2003,1.464
Dec 2002,1.389
Nov 2002,1.424
Oct 2002,1.466
Sep 2002,1.403
Aug 2002,1.398
Jul 2002,1.402
Jun 2002,1.38
May 2002,1.394
Apr 2002,1.402
Mar 2002,1.259
Feb 2002,1.129
Jan 2002,1.134
Dec 2001,1.111
Nov 2001,1.177
Oct 2001,1.312
Sep 2001,1.539
Aug 2001,1.422
Jul 2001,1.381
Jun 2001,1.586
May 2001,1.689
Apr 2001,1.557
Mar 2001,1.423
Feb 2001,1.471
Jan 2001,1.467
Dec 2000,1.458
Nov 2000,1.533
Oct 2000,1.546
Sep 2000,1.562
Aug 2000,1.48
Jul 2000,1.568
Jun 2000,1.645
May 2000,1.496
Apr 2000,1.476
Mar 2000,1.538
Feb 2000,1.409
Jan 2000,1.319
Dec 1999,1.302
Nov 1999,1.28
Oct 1999,1.271
Sep 1999,1.279
Aug 1999,1.237
Jul 1999,1.177
Jun 1999,1.134
May 1999,1.143
Apr 1999,1.137
Mar 1999,1
Feb 1999,0.94
Jan 1999,0.957
Dec 1998,0.964
