route,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal
49A,South Western,02/01/2001,444.1,0,0,8882
49B,North Western,02/01/2001,5039,3296.3,2091.9,122332
X49,Western Express,02/01/2001,5654.3,0,0,113085
50,Damen,02/01/2001,8839.3,4098.7,2818.2,204453
51,51st,02/01/2001,5124.6,3593.9,2348.6,126263
52,Kedzie/California,02/01/2001,12412.4,8292.8,5632.1,303947
52A,South Kedzie,02/01/2001,6113.8,3246.1,1877.1,142769
53,Pulaski,02/01/2001,22111.6,14411.7,9369.9,537359
53A,South Pulaski,02/01/2001,9793.7,2957.6,1508.8,213739
54,Cicero,02/01/2001,13016.8,9070.8,6677.5,323328
54A,North Cicero/Skokie Blvd.,02/01/2001,1373.7,0,0,27474
54B,South Cicero,02/01/2001,4818.1,4191.1,2589.8,123486
55,Garfield,02/01/2001,13244.6,8902.1,7052.3,328710
55N,55th/Narragansett,02/01/2001,1162,162.8,0,23891
56,Milwaukee,02/01/2001,14732.9,8891,6289.6,355380
56A,North Milwaukee,02/01/2001,540.7,0,0,10814
57,Laramie,02/01/2001,3077,1423.8,650.2,69836
59,59th/61st,02/01/2001,4593,2230.1,0,100781
60,Blue Island/26th,02/01/2001,14023.4,9395.7,6819.6,345328
62,Archer,02/01/2001,15473,6770.3,4642.1,355110
62H,Archer/Harlem,02/01/2001,1447.2,552.9,0,31155
63,63rd,02/01/2001,22932.3,18001.7,12559.4,580890
63W,West 63rd,02/01/2001,2234.9,644.8,424.3,48975
64,Foster-Canfield,02/01/2001,299.3,0,0,5986
65,Grand,02/01/2001,6868.3,2964.6,1706.3,156050
66,Chicago,02/01/2001,21441,12708.4,8070.9,511938
67,67th-69th-71st,02/01/2001,14717,9908.3,7177.1,362682
68,Northwest Highway,02/01/2001,1758.8,649.5,257.5,38803
69,Cumberland/East River,02/01/2001,466.2,0,0,8858
70,Division,02/01/2001,10967.6,7142.3,5658.5,270554
71,71st/South Shore,02/01/2001,7650.9,5818.3,3525.7,190393
72,North,02/01/2001,15783.4,10803.7,7612.3,389332
73,Armitage,02/01/2001,5320.6,2199.4,1419.2,120886
74,Fullerton,02/01/2001,13381,10172.3,7385.9,337853
75,74th-75th,02/01/2001,7381.3,4746.8,3080.6,178935
76,Diversey,02/01/2001,13775.4,6886.9,5484.3,324993
77,Belmont,02/01/2001,20885.2,12153.8,8920.7,502001
78,Montrose,02/01/2001,9341.3,5803.6,3336.4,223386
79,79th,02/01/2001,32205.8,23639.8,16737.1,805623
80,Irving Park,02/01/2001,11989,7662.9,5326.3,291736
81,Lawrence,02/01/2001,15145.2,11140.3,7563.9,377721
81W,West Lawrence,02/01/2001,1505.2,851.7,444,35286
82,Kimball-Homan,02/01/2001,21175.6,12105.2,7245.6,500916
84,Peterson,02/01/2001,4369.3,1983.8,1213.7,100176
85,Central,02/01/2001,13316.8,8252.3,5260.9,320389
85A,North Central,02/01/2001,879.8,51.8,0,17802
86,Narragansett/Ridgeland,02/01/2001,2187,0,0,43741
87,87th,02/01/2001,16279.6,10064.7,6168.6,390526
88,Higgins,02/01/2001,1705.2,765.6,939.9,40925
90,Harlem,02/01/2001,3967,2612.5,1503.4,95804
90N,North Harlem,02/01/2001,360.1,117.7,0,7673
91,Austin,02/01/2001,8550.5,4194.4,2306.3,197013
92,Foster,02/01/2001,7803.5,4099.3,2744,183443
93,California/Dodge,02/01/2001,2249.3,974.8,0,48884
94,South California,02/01/2001,10951.8,4518.5,3431.3,250835
95E,93rd-95th,02/01/2001,5773.6,4785.1,3102.1,147020
95W,West 95th,02/01/2001,5348.8,4890.2,3093.9,138913
96,Lunt,02/01/2001,1332,0,0,26640
97,Skokie,02/01/2001,3788.5,1932.1,1232.6,88429
100,Jeffery Manor Express,02/01/2001,1177.7,0,0,23555
103,West 103rd,02/01/2001,3852,1457.5,1155.9,87493
106,East 103rd,02/01/2001,2663.3,611.2,487.6,57661
108,Halsted/95th,02/01/2001,3104.7,0,0,62094
111,Pullman/111th/115th,02/01/2001,6361.6,3700.4,2243.8,151009
112,Vincennes/111th,02/01/2001,4003.7,1374.8,965.9,89438
119,Michigan/119th,02/01/2001,5484.8,4686.4,3177.5,141151
120,Ogilvie/Wacker Express,02/01/2001,624.8,0,0,12496
121,Union/Wacker Express,02/01/2001,1345,0,0,26900
122,Illinois Center/Ogilvie Express,02/01/2001,1053.4,0,0,21067
123,Illinois Center/Union Express,02/01/2001,776.8,0,0,15536
125,Water Tower Express,02/01/2001,2385,0,0,47699
126,Jackson,02/01/2001,10761.9,4884.7,2817.7,246048
127,Madison/Roosevelt Circulator,02/01/2001,214.5,0,0,4290
128,Soldier Field Express,02/01/2001,0,148.1,0,148
129,West Loop/South Loop,02/01/2001,811.5,0,0,16231
135,Clarendon/LaSalle Express,02/01/2001,2703.5,0,0,54070
136,Sheridan/LaSalle Express,02/01/2001,1958.3,0,0,39165
145,Wilson/Michigan Express,02/01/2001,8682,3798.2,2024,196929
146,Inner Drive/Michigan Express,02/01/2001,9206.2,5636.2,3353.7,220082
147,Outer Drive Express,02/01/2001,9123,5347.7,0,203852
151,Sheridan,02/01/2001,24656.8,14270,12550,600416
152,Addison,02/01/2001,11210.9,4164.6,2243.2,249850
155,Devon,02/01/2001,7303,5146.8,3888,182199
156,LaSalle,02/01/2001,9112.3,0,0,182247
157,Streeterville/Taylor,02/01/2001,3279,0,0,65581
169,69th-UPS Express,02/01/2001,852.6,78,0,17365
170,U. of Chicago/Midway,02/01/2001,287.9,0,0,5758
171,U. of Chicago/Hyde Park,02/01/2001,918.1,271.3,320.2,20728
172,U. of Chicago/Kenwood,02/01/2001,933.5,75.1,56.8,19198
173,U. of Chicago/Lakeview Express,02/01/2001,252.5,493.9,169.4,7703
201,Central/Ridge,02/01/2001,1314.6,559.2,341.8,29896
202,Main/Emerson,02/01/2001,514.7,0,0,10294
203,Ridge/Grant,02/01/2001,1823.8,0,0,36476
204,Dodge,02/01/2001,1578.3,0,0,31565
1,Indiana/Hyde Park,03/01/2001,7571.8,0,0,166579
2,Hyde Park Express,03/01/2001,862,0,0,18964
